   154             DTL_RF:Cav04:Rg08     22.27127     44.294  
   155             DTL_RF:Cav04:Rg09     22.49220     44.891  
   156             DTL_RF:Cav04:Rg10     22.71450     45.490  
   157             DTL_RF:Cav04:Rg11     22.93815     46.092  
   158             DTL_RF:Cav04:Rg12     23.16317     46.696  
   159             DTL_RF:Cav04:Rg13     23.38953     47.301  
   160             DTL_RF:Cav04:Rg14     23.61725     47.909  
   161             DTL_RF:Cav04:Rg15     23.84632     48.518  
   162             DTL_RF:Cav04:Rg16     24.07673     49.130  
   163             DTL_RF:Cav04:Rg17     24.30847     49.743  
   164             DTL_RF:Cav04:Rg18     24.54155     50.357  
   165             DTL_RF:Cav04:Rg19     24.77596     50.973  
   166             DTL_RF:Cav04:Rg20     25.01170     51.590  
   167             DTL_RF:Cav04:Rg21     25.24876     52.209  
   168             DTL_RF:Cav04:Rg22     25.48714     52.829  
   169             DTL_RF:Cav04:Rg23     25.72683     53.451  
   170             DTL_RF:Cav04:Rg24     25.96783     54.075  
   171             DTL_RF:Cav04:Rg25     26.21014     54.700  
   172             DTL_RF:Cav04:Rg26     26.45281     55.320  
   173             DTL_RF:Cav04:Rg27     26.69583     55.926  
   174             DTL_RF:Cav04:Rg28     26.94009     56.516  
   175             DTL_RF:Cav05:Rg01     27.43380     57.123  
   176             DTL_RF:Cav05:Rg02     27.68461     57.752  
   177             DTL_RF:Cav05:Rg03     27.93639     58.401  
   178             DTL_RF:Cav05:Rg04     28.18856     59.061  
   179             DTL_RF:Cav05:Rg05     28.44115     59.725  
   180             DTL_RF:Cav05:Rg06     28.69473     60.391  
   181             DTL_RF:Cav05:Rg07     28.94958     61.059  
   182             DTL_RF:Cav05:Rg08     29.20570     61.728  
   183             DTL_RF:Cav05:Rg09     29.46308     62.398  
   184             DTL_RF:Cav05:Rg10     29.72172     63.070  
   185             DTL_RF:Cav05:Rg11     29.98162     63.742  
   186             DTL_RF:Cav05:Rg12     30.24277     64.416  
   187             DTL_RF:Cav05:Rg13     30.50516     65.091  
   188             DTL_RF:Cav05:Rg14     30.76880     65.768  
   189             DTL_RF:Cav05:Rg15     31.03367     66.445  
   190             DTL_RF:Cav05:Rg16     31.29977     67.123  
   191             DTL_RF:Cav05:Rg17     31.56710     67.802  
   192             DTL_RF:Cav05:Rg18     31.83566     68.483  
   193             DTL_RF:Cav05:Rg19     32.10544     69.165  
   194             DTL_RF:Cav05:Rg20     32.37643     69.847  
   195             DTL_RF:Cav05:Rg21     32.64863     70.532  
   196             DTL_RF:Cav05:Rg22     32.92076     71.210  
   197             DTL_RF:Cav05:Rg23     33.19279     71.867  
   198             DTL_RF:Cav05:Rg24     33.46594     72.500  
   199             DTL_RF:Cav06:Rg01     34.01802     73.127  
   200             DTL_RF:Cav06:Rg02     34.29827     73.777  
   201             DTL_RF:Cav06:Rg03     34.57932     74.447  
   202             DTL_RF:Cav06:Rg04     34.86044     75.128  
   203             DTL_RF:Cav06:Rg05     35.14161     75.811  
   204             DTL_RF:Cav06:Rg06     35.42361     76.492  
   205             DTL_RF:Cav06:Rg07     35.70672     77.171  
   206             DTL_RF:Cav06:Rg08     35.99093     77.848  
   207             DTL_RF:Cav06:Rg09     36.27624     78.522  
   208             DTL_RF:Cav06:Rg10     36.56264     79.193  
   209             DTL_RF:Cav06:Rg11     36.85011     79.862  
   210             DTL_RF:Cav06:Rg12     37.13864     80.528  
   211             DTL_RF:Cav06:Rg13     37.42824     81.191  
   212             DTL_RF:Cav06:Rg14     37.71889     81.850  
   213             DTL_RF:Cav06:Rg15     38.01059     82.507  
   214             DTL_RF:Cav06:Rg16     38.30331     83.160  
   215             DTL_RF:Cav06:Rg17     38.59706     83.810  
   216             DTL_RF:Cav06:Rg18     38.89183     84.456  
   217             DTL_RF:Cav06:Rg19     39.18648     85.091  
   218             DTL_RF:Cav06:Rg20     39.48097     85.699  
   219             DTL_RF:Cav06:Rg21     39.77596     86.273  
   220             DTL_RF:Cav06:Rg22     40.07138     86.804  
   221             CCL_RF:Cav01:Rg01     40.46501     86.979  
   222             CCL_RF:Cav01:Rg02     40.54023     87.155  
   223             CCL_RF:Cav01:Rg03     40.61545     87.333  
   224             CCL_RF:Cav01:Rg04     40.69068     87.511  
   225             CCL_RF:Cav01:Rg05     40.76590     87.688  
   226             CCL_RF:Cav01:Rg06     40.84112     87.866  
   227             CCL_RF:Cav01:Rg07     40.91635     88.043  
   228             CCL_RF:Cav01:Rg08     40.99157     88.219  
   229             CCL_RF:Cav01:Rg09     41.44455     88.400  
   230             CCL_RF:Cav01:Rg10     41.52031     88.583  
   231             CCL_RF:Cav01:Rg11     41.59607     88.768  
   232             CCL_RF:Cav01:Rg12     41.67183     88.952  
   233             CCL_RF:Cav01:Rg13     41.74759     89.137  
   234             CCL_RF:Cav01:Rg14     41.82335     89.321  
   235             CCL_RF:Cav01:Rg15     41.89911     89.505  
   236             CCL_RF:Cav01:Rg16     41.97487     89.688  
   237             CCL_RF:Cav01:Rg17     42.43112     89.875  
   238             CCL_RF:Cav01:Rg18     42.50743     90.066  
   239             CCL_RF:Cav01:Rg19     42.58374     90.257  
   240             CCL_RF:Cav01:Rg20     42.66005     90.449  
   241             CCL_RF:Cav01:Rg21     42.73637     90.641  
   242             CCL_RF:Cav01:Rg22     42.81268     90.832  
   243             CCL_RF:Cav01:Rg23     42.88899     91.023  
   244             CCL_RF:Cav01:Rg24     42.96530     91.212  
   245             CCL_RF:Cav01:Rg25     43.42489     91.407  
   246             CCL_RF:Cav01:Rg26     43.50177     91.604  
   247             CCL_RF:Cav01:Rg27     43.57864     91.803  
   248             CCL_RF:Cav01:Rg28     43.65552     92.001  
   249             CCL_RF:Cav01:Rg29     43.73239     92.200  
   250             CCL_RF:Cav01:Rg30     43.80927     92.398  
   251             CCL_RF:Cav01:Rg31     43.88614     92.596  
   252             CCL_RF:Cav01:Rg32     43.96302     92.792  
   253             CCL_RF:Cav01:Rg33     44.42603     92.993  
   254             CCL_RF:Cav01:Rg34     44.50348     93.198  
   255             CCL_RF:Cav01:Rg35     44.58093     93.403  
   256             CCL_RF:Cav01:Rg36     44.65839     93.608  
   257             CCL_RF:Cav01:Rg37     44.73584     93.814  
   258             CCL_RF:Cav01:Rg38     44.81329     94.019  
   259             CCL_RF:Cav01:Rg39     44.89074     94.223  
   260             CCL_RF:Cav01:Rg40     44.96819     94.426  
   261             CCL_RF:Cav01:Rg41     45.43471     94.635  
   262             CCL_RF:Cav01:Rg42     45.51275     94.846  
   263             CCL_RF:Cav01:Rg43     45.59079     95.058  
   264             CCL_RF:Cav01:Rg44     45.66883     95.270  
   265             CCL_RF:Cav01:Rg45     45.74687     95.483  
   266             CCL_RF:Cav01:Rg46     45.82491     95.695  
   267             CCL_RF:Cav01:Rg47     45.90295     95.906  
   268             CCL_RF:Cav01:Rg48     45.98100     96.115  
   269             CCL_RF:Cav01:Rg49     46.45108     96.331  
   270             CCL_RF:Cav01:Rg50     46.52972     96.549  
   271             CCL_RF:Cav01:Rg51     46.60837     96.768  
   272             CCL_RF:Cav01:Rg52     46.68701     96.987  
   273             CCL_RF:Cav01:Rg53     46.76565     97.206  
   274             CCL_RF:Cav01:Rg54     46.84430     97.425  
   275             CCL_RF:Cav01:Rg55     46.92294     97.643  
   276             CCL_RF:Cav01:Rg56     47.00158     97.859  
   277             CCL_RF:Cav01:Rg57     47.47532     98.081  
   278             CCL_RF:Cav01:Rg58     47.55457     98.306  
   279             CCL_RF:Cav01:Rg59     47.63383     98.531  
   280             CCL_RF:Cav01:Rg60     47.71309     98.757  
   281             CCL_RF:Cav01:Rg61     47.79234     98.983  
   282             CCL_RF:Cav01:Rg62     47.87160     99.209  
   283             CCL_RF:Cav01:Rg63     47.95086     99.433  
   284             CCL_RF:Cav01:Rg64     48.03011     99.656  
   285             CCL_RF:Cav01:Rg65     48.50757     99.885  
   286             CCL_RF:Cav01:Rg66     48.58745     100.117  
   287             CCL_RF:Cav01:Rg67     48.66734     100.350  
   288             CCL_RF:Cav01:Rg68     48.74722     100.582  
   289             CCL_RF:Cav01:Rg69     48.82710     100.815  
   290             CCL_RF:Cav01:Rg70     48.90698     101.048  
   291             CCL_RF:Cav01:Rg71     48.98687     101.279  
   292             CCL_RF:Cav01:Rg72     49.06675     101.509  
   293             CCL_RF:Cav01:Rg73     49.54800     101.739  
   294             CCL_RF:Cav01:Rg74     49.62852     101.973  
   295             CCL_RF:Cav01:Rg75     49.70903     102.207  
   296             CCL_RF:Cav01:Rg76     49.78954     102.442  
   297             CCL_RF:Cav01:Rg77     49.87006     102.676  
