pos[m] eKin rmsX rmsXp rmsY rmsYp rmsZ rmsdp_p  rmsZp phase time eKin x xp y yp z dp_p zp phase0 time0 eKin0 
+1.508645e+000      2.500270  +2.983727e-003 +1.100539e-002 +2.613210e-003 +9.319830e-003 +4.213626e-003 +1.409023e-003 +1.401551e-003 +2.796802e+001 +1.930160e-010 +7.036521e-003 +2.557325e-006 -5.881161e-006 +1.795065e-007 -3.675131e-006 +2.256449e-005 +5.369159e-005 +5.340689e-005 +1.497722e-001 +1.033624e-012 +2.681306e-004 
+1.559156e+000      2.500271  +3.297779e-003 +1.114079e-002 +2.467063e-003 +7.470490e-003 +4.162272e-003 +1.343152e-003 +1.336030e-003 +2.762715e+001 +1.906635e-010 +6.707573e-003 +2.378511e-006 +4.201436e-007 -1.944919e-008 -4.242991e-006 +2.124731e-005 +5.395766e-005 +5.367155e-005 +1.410294e-001 +9.732875e-013 +2.694595e-004 
+1.609177e+000      2.500272  +3.592115e-003 +4.561774e-003 +2.274204e-003 +3.412051e-003 +4.117372e-003 +1.282773e-003 +1.275971e-003 +2.732912e+001 +1.886068e-010 +6.406047e-003 +2.218746e-006 -4.967708e-006 -2.437523e-007 -4.720717e-006 +2.181810e-005 +5.410804e-005 +5.382113e-005 +1.448180e-001 +9.994339e-013 +2.702105e-004 
+1.659587e+000      2.500272  +3.684183e-003 +1.273606e-003 +2.218682e-003 +1.435956e-003 +4.079008e-003 +1.227393e-003 +1.220885e-003 +2.707448e+001 +1.868494e-010 +6.129486e-003 +1.913558e-006 -7.721632e-006 -4.855351e-007 -4.980762e-006 +2.364095e-005 +5.411909e-005 +5.383212e-005 +1.569171e-001 +1.082934e-012 +2.702657e-004 
+1.709748e+000      2.500272  +3.646654e-003 +1.216503e-003 +2.250934e-003 +1.477056e-003 +4.045736e-003 +1.176137e-003 +1.169901e-003 +2.685363e+001 +1.853253e-010 +5.873518e-003 +1.518866e-006 -7.903432e-006 -7.368479e-007 -5.024413e-006 +2.614794e-005 +5.404152e-005 +5.375496e-005 +1.735574e-001 +1.197773e-012 +2.698783e-004 
+1.759909e+000      2.500271  +3.609125e-003 +1.159400e-003 +2.283186e-003 +1.518156e-003 +4.012464e-003 +1.124881e-003 +1.118917e-003 +2.663279e+001 +1.838012e-010 +5.617551e-003 +1.124175e-006 -8.085231e-006 -9.881607e-007 -5.068065e-006 +2.865494e-005 +5.396394e-005 +5.367780e-005 +1.901976e-001 +1.312613e-012 +2.694908e-004 
+1.810071e+000      2.500271  +3.584627e-003 +1.119629e-003 +2.330112e-003 +1.573807e-003 +3.990755e-003 +1.088579e-003 +1.082807e-003 +2.648870e+001 +1.828068e-010 +5.436259e-003 +7.092055e-007 -8.257621e-006 -1.245540e-006 -5.124140e-006 +3.117251e-005 +5.396392e-005 +5.367778e-005 +2.069080e-001 +1.427937e-012 +2.694907e-004 
+1.860232e+000      2.500272  +3.562635e-003 +1.083191e-003 +2.379859e-003 +1.632256e-003 +3.971271e-003 +1.055152e-003 +1.049557e-003 +2.635937e+001 +1.819142e-010 +5.269329e-003 +2.903365e-007 -8.428202e-006 -1.504086e-006 -5.182606e-006 +3.369212e-005 +5.397882e-005 +5.369259e-005 +2.236320e-001 +1.543354e-012 +2.695651e-004 
+1.910323e+000      2.500272  +3.510715e-003 +1.907920e-003 +2.453276e-003 +2.354978e-003 +3.952716e-003 +1.023580e-003 +1.018152e-003 +2.623622e+001 +1.810643e-010 +5.111662e-003 -1.274377e-007 -8.503503e-006 -1.779971e-006 -5.783801e-006 +3.596683e-005 +5.397809e-005 +5.369187e-005 +2.387304e-001 +1.647553e-012 +2.695615e-004 
+1.960355e+000      2.500271  +3.207155e-003 +9.966066e-003 +2.726052e-003 +8.658221e-003 +3.941759e-003 +1.007230e-003 +1.001889e-003 +2.616349e+001 +1.805624e-010 +5.030010e-003 -5.405192e-007 -7.780284e-006 -2.204281e-006 -1.094455e-005 +3.621147e-005 +5.384633e-005 +5.356081e-005 +2.403542e-001 +1.658759e-012 +2.689034e-004 
