220 13 12 73.6383 37.4876 0 -0.038194 -0.0280854
236 14 12 79.3028 37.4876 0 -0.0398217 -0.0439234
252 15 12 84.9672 37.4876 0 -0.0300929 -0.0663851
13 0 13 0 40.6116 0 0 -0.106702
29 1 13 5.66448 40.6116 0 0.0472359 -0.078152
45 2 13 11.329 40.6116 0 0.0524057 -0.0433527
61 3 13 16.9934 40.6116 0 0.0451222 -0.0248849
77 4 13 22.6579 40.6116 0 0.0376869 -0.0155883
93 5 13 28.3224 40.6116 0 0.0318232 -0.0105303
109 6 13 33.9869 40.6116 0 0.0273439 -0.0075401
125 7 13 39.6514 40.6116 0 0.0238854 -0.00564551
141 8 13 45.3159 40.6116 0 0 0
157 9 13 50.9803 40.6116 0 -0.0238854 -0.00564551
173 10 13 56.6448 40.6116 0 -0.0273439 -0.0075401
189 11 13 62.3093 40.6116 0 -0.0318232 -0.0105303
205 12 13 67.9738 40.6116 0 -0.0376869 -0.0155883
221 13 13 73.6383 40.6116 0 -0.0451222 -0.0248849
237 14 13 79.3028 40.6116 0 -0.0524057 -0.0433527
253 15 13 84.9672 40.6116 0 -0.0472359 -0.078152
14 0 14 0 43.7355 0 0 -0.160053
30 1 14 5.66448 43.7355 0 0.0796434 -0.0878468
46 2 14 11.329 43.7355 0 0.0676832 -0.0373274
62 3 14 16.9934 43.7355 0 0.0518387 -0.0190594
78 4 14 22.6579 43.7355 0 0.0410159 -0.0113101
94 5 14 28.3224 43.7355 0 0.0336692 -0.00742744
110 6 14 33.9869 43.7355 0 0.0284613 -0.00523214
126 7 14 39.6514 43.7355 0 0.0246088 -0.00387765
142 8 14 45.3159 43.7355 0 0 0
158 9 14 50.9803 43.7355 0 -0.0246088 -0.00387765
174 10 14 56.6448 43.7355 0 -0.0284613 -0.00523214
190 11 14 62.3093 43.7355 0 -0.0336692 -0.00742744
206 12 14 67.9738 43.7355 0 -0.0410159 -0.0113101
222 13 14 73.6383 43.7355 0 -0.0518387 -0.0190594
238 14 14 79.3028 43.7355 0 -0.0676832 -0.0373274
254 15 14 84.9672 43.7355 0 -0.0796434 -0.0878468
15 0 15 0 46.8595 0 0 -0.320106
31 1 15 5.66448 46.8595 0 0.135366 -0.0746547
47 2 15 11.329 46.8595 0 0.0820318 -0.0226203
63 3 15 16.9934 46.8595 0 0.0569225 -0.0104643
79 4 15 22.6579 46.8595 0 0.0433113 -0.00597156
95 5 15 28.3224 46.8595 0 0.0348833 -0.00384764
111 6 15 33.9869 46.8595 0 0.0291766 -0.00268182
127 7 15 39.6514 46.8595 0 0.0250642 -0.00197471
143 8 15 45.3159 46.8595 0 0 0
159 9 15 50.9803 46.8595 0 -0.0250642 -0.00197471
175 10 15 56.6448 46.8595 0 -0.0291766 -0.00268182
191 11 15 62.3093 46.8595 0 -0.0348833 -0.00384764
207 12 15 67.9738 46.8595 0 -0.0433113 -0.00597156
223 13 15 73.6383 46.8595 0 -0.0569225 -0.0104643
239 14 15 79.3028 46.8595 0 -0.0820318 -0.0226203
255 15 15 84.9672 46.8595 0 -0.135366 -0.0746547
